id,type_of_logement_raw,ville_raw,quartier_raw,room_nb_raw,bedroom_nb_raw,surface_raw,price_raw
4591,Appartement,Sartrouville,Les Indes,3,2,56,202000
4592,Appartement,Montgeron,Aristide Briand-Saint Hubert-Plateau,4,,73,339000
4593,Appartement,Saint-Maur-des-Fossés,Le Parc ,5,4,116,958000
4594,Appartement,Etampes,Saint Pierre,3,2,57,133875
4595,Appartement,Chilly-Mazarin,Terres Blanches,3,2,65,150000
4596,Appartement,Nanterre,République-UniversitE,4,,79.57,411753
4597,Appartement,,,,,,117000
4598,Appartement,,,,,,178000
4599,Appartement,Montreuil,Branly-Boissière,3,1,61.4,343000
4600,Appartement,Saint-Maur-des-Fossés,La Pie,4,3,90,620000
4601,Appartement,Noisy-le-Sec,Haut Goulet-Jules Auffret,3,2,57.5,265000
4602,Appartement,Paris 15,Saint Lambert,2,,42.64,548000
4603,Appartement,Paris 15,Saint Lambert,3,,65.17,820000
4604,Appartement,Athis-Mons,Le Plateau Pyramide,2,,40,199000
4605,Appartement,Romainville,Grands Champs,3,2,71,390000
4606,Appartement,Sannois,Pasteur I,2,1,39.8,206000
4607,Maison,Guyancourt,Hameau de Villaroy,5,4,165.7,695000
4608,Appartement,Gretz-Armainvilliers,Nord Ouest,3,2,58.96,271600
4609,Appartement,Champigny-sur-Marne,Plant,2,,39.12,265000
4610,Maison,Paris 20,Gambetta,8,4,300,3885000
4611,Appartement,,,3,2,64,198000
4612,Appartement,Vanves,Clos Montholon,2,,40.45,295000
4613,Appartement,Vanves,Clos Montholon,5,,109.75,991000
4614,Appartement,,,2,1,50.1,204750
4615,Appartement,Meaux,Centre Ville-Cathédrale-Marché-Grande ile-Clos Godet,4,3,69.73,273500
4616,Appartement,Alfortville,Juillet Zola,3,2,55.45,338300
4617,Appartement,Torcy,Beauregard-Les Gradins,4,3,80.12,320900
4618,Appartement,,,2,1,36.5,186900
4619,Appartement,,,3,2,60.6,242300
4620,Appartement,Puteaux,Bergère-Moulin,,,,497000
4621,Appartement,Châtenay-Malabry,Houssières,3,2,68.9,305000
4622,Appartement,Colombes,Agent Sarre-Centre-Les Vallées-La Garenne,,,,364854
4623,Maison,,,6,3,142,269850
4624,Maison,Sartrouville,Le Val-Notre Dame,7,4,220,450000
4625,Appartement,Marolles en Brie,La Butte du Berger,2,,32.69,185500
4626,Maison,Châtenay-Malabry,Petit Chatenay,5,4,92,595000
4627,Maison,Châtenay-Malabry,Petit Chatenay,6,5,180,1215000
4628,Appartement,Romainville,Grands Champs,4,3,75,530000
4629,Appartement,Saint-Maur-des-Fossés,Adamville,5,4,128,790000
4630,Appartement,Noisy-le-Grand,Varenne-Centre-Rive Charmante,3,2,68.5,340000
4631,Appartement,Saint-Cyr-l'École,Langevin,5,3,92.39,449000
4632,Appartement,Clamart,Jardin Parisien,4,3,77.37,499000
4633,Appartement,Clamart,Jardin Parisien,6,5,106.07,741000
4634,Appartement,Livry-Gargan,Paul Dupont-Camille Desmoulins,3,2,66.28,154000
4635,Maison,Guyancourt,Hameau de Villaroy,4,3,110,511000
4636,Appartement,Garches,Cote Saint Louis,5,3,114.52,1060000
4637,Appartement,Montgeron,Aristide Briand-Saint Hubert-Plateau,1,,38,216000
4638,Appartement,Noisy-le-Sec,Haut Goulet-Jules Auffret,4,3,75.2,285000
4639,Appartement,Le Raincy,Herold,1,,33,162000
4640,Appartement,Antony,Bois de Verrières-Coulée Verte-Parc Heller,3,2,65.2,495000
4641,Maison,Montmorency,Centre Montmorency Centre,8,7,195,679000
